symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-07-01 17:53:00+00:00,216.64,216.78,216.55,216.6665,102942.0,1015.0,216.664934
AAPL,2024-07-01 17:54:00+00:00,216.6673,216.7,216.57,216.65,62107.0,767.0,216.641912
AAPL,2024-07-01 17:55:00+00:00,216.65,216.67,216.47,216.615,61926.0,786.0,216.536098
AAPL,2024-07-01 17:56:00+00:00,216.615,216.67,216.545,216.57,48334.0,629.0,216.595682
AAPL,2024-07-01 17:57:00+00:00,216.56,216.57,216.47,216.52,64385.0,776.0,216.524148
AAPL,2024-07-01 17:58:00+00:00,216.52,216.56,216.48,216.53,55265.0,723.0,216.528401
AAPL,2024-07-01 17:59:00+00:00,216.53,216.75,216.5201,216.72,51456.0,769.0,216.654242
AAPL,2024-07-01 18:00:00+00:00,216.72,216.7251,216.47,216.505,60043.0,903.0,216.569689
AAPL,2024-07-01 18:01:00+00:00,216.5,216.58,216.4707,216.5097,47851.0,626.0,216.534887
AAPL,2024-07-01 18:02:00+00:00,216.5202,216.56,216.47,216.475,54891.0,749.0,216.500542
AAPL,2024-07-01 18:03:00+00:00,216.47,216.47,216.39,216.46,53019.0,770.0,216.432187
AAPL,2024-07-01 18:04:00+00:00,216.46,216.5,216.39,216.5,57604.0,653.0,216.456549
AAPL,2024-07-01 18:05:00+00:00,216.495,216.565,216.38,216.42,66934.0,1082.0,216.467808
AAPL,2024-07-01 18:06:00+00:00,216.415,216.485,216.335,216.34,56927.0,707.0,216.437219
AAPL,2024-07-01 18:07:00+00:00,216.345,216.43,216.34,216.355,57574.0,733.0,216.374801
AAPL,2024-07-01 18:08:00+00:00,216.3595,216.45,216.33,216.35,64531.0,946.0,216.380203
AAPL,2024-07-01 18:09:00+00:00,216.3521,216.37,216.29,216.3,50150.0,684.0,216.320905
AAPL,2024-07-01 18:10:00+00:00,216.3,216.42,216.26,216.405,48879.0,740.0,216.354746
AAPL,2024-07-01 18:11:00+00:00,216.42,216.59,216.4001,216.57,65325.0,944.0,216.506358
AAPL,2024-07-01 18:12:00+00:00,216.5699,216.82,216.5667,216.77,101904.0,1232.0,216.71936
AAPL,2024-07-01 18:13:00+00:00,216.78,216.8,216.5301,216.5699,84508.0,908.0,216.687644
AAPL,2024-07-01 18:14:00+00:00,216.56,216.645,216.49,216.6375,50312.0,700.0,216.572902
AAPL,2024-07-01 18:15:00+00:00,216.635,216.775,216.635,216.74,77796.0,729.0,216.706704
AAPL,2024-07-01 18:16:00+00:00,216.73,216.78,216.67,216.68,64282.0,687.0,216.704252
AAPL,2024-07-01 18:17:00+00:00,216.69,216.77,216.69,216.74,56756.0,678.0,216.73426
AAPL,2024-07-01 18:18:00+00:00,216.75,216.88,216.745,216.8662,94133.0,1042.0,216.81614
AAPL,2024-07-01 18:19:00+00:00,216.87,216.9,216.8,216.8075,63070.0,688.0,216.858134
AAPL,2024-07-01 18:20:00+00:00,216.8099,216.8099,216.56,216.59,57225.0,830.0,216.677938
AAPL,2024-07-01 18:21:00+00:00,216.6399,216.65,216.53,216.56,31008.0,665.0,216.587874
AAPL,2024-07-01 18:22:00+00:00,216.58,216.6199,216.485,216.5035,35275.0,653.0,216.559354
AAPL,2024-07-01 18:23:00+00:00,216.5,216.51,216.43,216.46,52304.0,696.0,216.471653
AAPL,2024-07-01 18:24:00+00:00,216.45,216.45,216.35,216.415,80406.0,988.0,216.402099
AAPL,2024-07-01 18:25:00+00:00,216.41,216.45,216.2556,216.258,81599.0,900.0,216.350952
AAPL,2024-07-01 18:26:00+00:00,216.25,216.25,216.1,216.19,128137.0,1465.0,216.180091
AAPL,2024-07-01 18:27:00+00:00,216.19,216.31,216.095,216.2801,86818.0,1027.0,216.189697
AAPL,2024-07-01 18:28:00+00:00,216.28,216.28,216.145,216.175,38870.0,678.0,216.189241
AAPL,2024-07-01 18:29:00+00:00,216.18,216.19,215.92,215.935,126991.0,1516.0,216.045367
AAPL,2024-07-01 18:30:00+00:00,215.93,215.9938,215.81,215.95,121792.0,1564.0,215.903314
AAPL,2024-07-01 18:31:00+00:00,215.94,216.01,215.81,215.975,93011.0,987.0,215.889462
AAPL,2024-07-01 18:32:00+00:00,215.975,216.08,215.805,215.845,114643.0,1510.0,215.956859
AAPL,2024-07-01 18:33:00+00:00,215.84,215.84,215.71,215.8224,110528.0,1427.0,215.779243
AAPL,2024-07-01 18:34:00+00:00,215.82,215.87,215.815,215.865,50992.0,737.0,215.847505
AAPL,2024-07-01 18:35:00+00:00,215.8697,215.99,215.72,215.735,87072.0,1181.0,215.865853
AAPL,2024-07-01 18:36:00+00:00,215.73,215.83,215.71,215.76,67688.0,955.0,215.780932
AAPL,2024-07-01 18:37:00+00:00,215.79,215.84,215.73,215.82,65134.0,822.0,215.78465
AAPL,2024-07-01 18:38:00+00:00,215.84,215.86,215.75,215.78,48944.0,763.0,215.786938
AAPL,2024-07-01 18:39:00+00:00,215.77,215.9,215.76,215.78,75414.0,865.0,215.835882
AAPL,2024-07-01 18:40:00+00:00,215.78,215.79,215.62,215.73,105428.0,1294.0,215.716679
AAPL,2024-07-01 18:41:00+00:00,215.73,215.81,215.688,215.71,107952.0,979.0,215.723105
AAPL,2024-07-01 18:42:00+00:00,215.71,215.76,215.67,215.705,63726.0,851.0,215.712311
AAPL,2024-07-01 18:43:00+00:00,215.7002,215.77,215.7,215.755,47289.0,671.0,215.726748
AAPL,2024-07-01 18:44:00+00:00,215.765,216.09,215.76,216.0401,117996.0,1312.0,215.945582
AAPL,2024-07-01 18:45:00+00:00,216.04,216.08,215.85,215.8508,111497.0,1076.0,215.976374
AAPL,2024-07-01 18:46:00+00:00,215.835,215.93,215.72,215.91,67956.0,898.0,215.816827
AAPL,2024-07-01 18:47:00+00:00,215.905,215.905,215.75,215.8199,52508.0,622.0,215.811534
AAPL,2024-07-01 18:48:00+00:00,215.81,215.815,215.71,215.73,47722.0,635.0,215.76042
AAPL,2024-07-01 18:49:00+00:00,215.72,215.74,215.66,215.6968,81099.0,840.0,215.70531
AAPL,2024-07-01 18:50:00+00:00,215.7,215.705,215.5239,215.54,86409.0,964.0,215.617412
AAPL,2024-07-01 18:51:00+00:00,215.535,215.88,215.531,215.76,92130.0,1073.0,215.751454
AAPL,2024-07-01 18:52:00+00:00,215.75,215.7936,215.58,215.7,58367.0,659.0,215.686793
AAPL,2024-07-01 18:53:00+00:00,215.6914,215.825,215.6438,215.79,43905.0,575.0,215.725473
AAPL,2024-07-01 18:54:00+00:00,215.79,215.94,215.76,215.93,84616.0,790.0,215.867548
AAPL,2024-07-01 18:55:00+00:00,215.925,215.93,215.72,215.73,69675.0,819.0,215.828189
AAPL,2024-07-01 18:56:00+00:00,215.72,215.745,215.6301,215.6464,54469.0,681.0,215.692147
AAPL,2024-07-01 18:57:00+00:00,215.645,215.66,215.41,215.44,166994.0,1443.0,215.550569
AAPL,2024-07-01 18:58:00+00:00,215.4301,215.96,215.4301,215.8728,117829.0,1254.0,215.73503
AAPL,2024-07-01 18:59:00+00:00,215.89,215.92,215.695,215.75,64081.0,812.0,215.781834
AAPL,2024-07-01 19:00:00+00:00,215.74,215.81,215.64,215.66,49459.0,757.0,215.733577
AAPL,2024-07-01 19:01:00+00:00,215.66,215.67,215.56,215.6199,49919.0,817.0,215.611115
AAPL,2024-07-01 19:02:00+00:00,215.61,215.86,215.61,215.8299,93481.0,983.0,215.769125
AAPL,2024-07-01 19:03:00+00:00,215.8,215.85,215.6401,215.6901,54446.0,715.0,215.764384
AAPL,2024-07-01 19:04:00+00:00,215.69,215.88,215.69,215.85,80079.0,983.0,215.814756
AAPL,2024-07-01 19:05:00+00:00,215.84,215.92,215.77,215.8899,77110.0,816.0,215.865167
AAPL,2024-07-01 19:06:00+00:00,215.885,216.1,215.885,216.0995,128150.0,1293.0,216.002145
AAPL,2024-07-01 19:07:00+00:00,216.0921,216.15,216.0,216.15,91250.0,898.0,216.082294
AAPL,2024-07-01 19:08:00+00:00,216.16,216.185,216.11,216.15,90397.0,975.0,216.148201
AAPL,2024-07-01 19:09:00+00:00,216.16,216.18,216.075,216.125,51972.0,728.0,216.125289
AAPL,2024-07-01 19:10:00+00:00,216.125,216.15,216.03,216.11,60272.0,763.0,216.087976
AAPL,2024-07-01 19:11:00+00:00,216.15,216.16,216.075,216.08,44672.0,642.0,216.114853
AAPL,2024-07-01 19:12:00+00:00,216.0783,216.09,216.04,216.045,351103.0,714.0,216.050237
AAPL,2024-07-01 19:13:00+00:00,216.04,216.15,216.0,216.1094,73860.0,853.0,216.088173
AAPL,2024-07-01 19:14:00+00:00,216.11,216.25,216.0974,216.16,115389.0,1131.0,216.178105
AAPL,2024-07-01 19:15:00+00:00,216.1631,216.18,216.0605,216.07,55182.0,747.0,216.121425
AAPL,2024-07-01 19:16:00+00:00,216.06,216.11,216.05,216.11,55163.0,675.0,216.081548
AAPL,2024-07-01 19:17:00+00:00,216.12,216.15,215.92,215.9402,140854.0,1332.0,216.024962
AAPL,2024-07-01 19:18:00+00:00,215.94,215.94,215.73,215.745,221552.0,995.0,215.834805
AAPL,2024-07-01 19:19:00+00:00,215.745,215.81,215.65,215.78,84288.0,973.0,215.731812
